98855,PERFUMARIA,225,2240,1e9e8ef04dbcff4541ed26657ea517e5
98856,ARTES,1000,10800,3aa071139cb16b67ca9e5dea641aaa2f
98857,ESPORTE_LAZER,154,2430,96bd76ec8810374ed1b65e291975717f
98858,BEBES,371,2704,cef67bcfe19066a932b7673e239eb23d
98859,UTILIDADES_DOMESTICAS,625,4420,9dc1a7de274444849c219cff195d0b71
98860,INSTRUMENTOS_MUSICAIS,200,2090,41d3672d4792049fa1779bb35283ed13
98861,COOL_STUFF,18350,73920,732bd381ad09e530fe0a5f457d81becb
98862,MOVEIS_DECORACAO,900,12800,2548af3e6e77a690cf3eb6368e9ab61e
98863,ELETRODOMESTICOS,400,5967,37cc742be07708b53a98702e77a21a02
98864,BRINQUEDOS,600,2040,8c92109888e8cdf9d66dc7e463025574
98865,CAMA_MESA_BANHO,1100,2560,14aa47b7fe5c25522b47b4b29c98dcb9
98866,BEBES,7150,42750,03b63c5fc16691530586ae020c345514
98867,INSTRUMENTOS_MUSICAIS,250,2023,cf55509ea8edaaac1d28fdb16e48fc22
98868,MOVEIS_DECORACAO,600,9724,7bb6f29c2be57716194f96496660c7c2
98869,CONSTRUCAO_FERRAMENTAS_SEGURANCA,200,2023,eb31436580a610f202c859463d8c7415
98870,ESPORTE_LAZER,800,352,3bb7f144022e6732727d8d838a7b13b3
98871,PERFUMARIA,400,2700,6a2fb4dd53d2cdb88e0432f1284a004c
98872,INFORMATICA_ACESSORIOS,900,12000,a1b71017a84f92fd8da4aeefba108a24
98873,MOVEIS_DECORACAO,1700,10500,a0736b92e52f6cead290e30b578413b6
98874,CAMA_MESA_BANHO,500,2560,f53103a77d9cf245e579ea37e5ec51f0
98875,MOVEIS_DECORACAO,2550,31320,1c1890ba1779090cd54008a3c3302921
98876,CAMA_MESA_BANHO,800,4608,518ef5de2c2b3a255e326a4594ba15d9
98877,BELEZA_SAUDE,75,1911,e3e020af31d4d89d2602272b315c3f6e
98878,BEBES,500,3380,8b41fbc2b984a12030090112324d1bc4
98879,MOVEIS_DECORACAO,1800,12000,d03bd02af9fff4b98f1c972315e5e9ef
98880,UTILIDADES_DOMESTICAS,900,12500,8ba4f2a4ae695d26e5626c1bf710975e
98881,MALAS_ACESSORIOS,3600,43750,f6574524b07d5bb753bab6f35abe2d06
98882,INFORMATICA_ACESSORIOS,300,2520,c78b767da00efb70c1bcccab87c28cd5
98883,INFORMATICA_ACESSORIOS,740,3887,a0253d43394dd4da9a5d7b1f546f1a32
98884,ESPORTE_LAZER,3600,32798,051b9ff13dd55c0a6655a15ff296f80d
98885,CAMA_MESA_BANHO,650,2560,47859fca9dd7485cbd93c3e8993bb74f
98886,FERRAMENTAS_JARDIM,2150,19040,e1d1d22e9f8122a4ec1533b032c12562
98887,MOVEIS_DECORACAO,800,13600,20e37962088a4061d3578def47a8648b
98888,MOVEIS_ESCRITORIO,8950,45084,1eba879220bd0981a0e2fbab499ed4e1
98889,ESPORTE_LAZER,1388,9486,ce5b91848b91118daffb3af53b747475
98890,BEBES,7950,43560,5370b82a213393979691c98074265584
98891,AUTOMOTIVO,6000,10962,b8dac5113b06a97e64943234522572b9
98892,ELETRONICOS,263,3456,750cf819d127191920eda79a4b6fb479
98893,UTILIDADES_DOMESTICAS,3900,5700,e6af694343b45b56304ad91974a110b9
98894,MOVEIS_DECORACAO,600,15625,680874c570dad71c0a2844cfbf417054
98895,MOVEIS_DECORACAO,2050,26117,8b3a9476f74f5297f7ff0ec6d95fe1ea
98896,BRINQUEDOS,725,5610,1c6fb703c624b381a20f21f757694866
98897,CAMA_MESA_BANHO,6350,23625,db46052aed7dff59ba38cf2fe29b87f9
98898,BEBES,600,8470,b864b103180d5a6a3f830e67f93e8735
98899,COOL_STUFF,11750,56880,7a8dac4aaa16bc642e4df33adcf03303
98900,BRINQUEDOS,2550,26752,83b9bc6aae6f527ff6aafb9e01d6cbf3
98901,COOL_STUFF,15350,88360,5f504b3a1c75b73d6151be81eb05bdc9
98902,MOVEIS_DECORACAO,1300,10000,bbf920aa6ac72007a726e6f419156f8f
98903,MOVEIS_DECORACAO,850,8349,c3b7e4d83e530c27a8e6368296aece48
98904,BELEZA_SAUDE,1300,9044,c5d8079278e912d7e3b6beb48ecb56e8
98905,ESPORTE_LAZER,4800,27000,5eaa343860dc445b3fd43d1b682809fd
98906,COOL_STUFF,1300,13824,b5cfb1d3c5e435a7a52227e08f220ee7
98907,AUTOMOTIVO,220,4284,334479e94cba98064050db1c9636e244
98908,BEBES,5700,34153,3fcd8dfe610c62edfb51de2630cd9ef4
98909,MALAS_ACESSORIOS,450,24000,4c8056caed5757810b9a68b83c3759e6
98910,FASHION_CALCADOS,2000,14208,30e77af9e7759bbaa0305d2fbc605dc4
98911,TELEFONIA,100,627,92bf5d2084dfbcb57d9db7838bac5cd0
98912,COOL_STUFF,1100,13800,fdeb34a9f03fea7c3937dd62d1d0287e
98913,PAPELARIA,1400,59280,1065dbb6b0bf03daaedab1236979e296
98914,BRINQUEDOS,250,3360,0d826eba8e0a2ae3bca9e3a947dd756d
98915,ESPORTE_LAZER,1050,7000,f8f6fd145cc00519283cf3100477b2b3
98916,PAPELARIA,500,2688,4e04ffb7dd3739ecfc37de8927dd586c
98917,BELEZA_SAUDE,1467,7360,36555a2f528d7b2a255c504191445d39
98918,FASHION_BOLSAS_E_ACESSORIOS,100,880,22937a73f92a33040ab4e2540355a5d8
98919,PAPELARIA,100,1280,dc21247da0290904ffbbcd5953c76f95
98920,PAPELARIA,300,2415,9020ce7adcc384b2899ae87ddc54767b
98921,ESPORTE_LAZER,950,13500,bfc1d1c62b1f7f401d8d9dda962bb870
98922,FERRAMENTAS_JARDIM,250,561,6fef6d87bb6c2eb11d57a967209219a8
98923,PCS,12000,71550,1e5428c428e0f783acd6e3d94ba4ee2a
98924,AUTOMOTIVO,921,2448,94080f9219044d897195e2be145945dc
98925,CASA_CONSTRUCAO,10000,37500,d0389f20b3d11de54e1e4561df147683
98926,RELOGIOS_PRESENTES,250,1936,3e9b58f1436820c248d3f98d7229bb14
98927,COOL_STUFF,1200,17600,575c38b4c88fc7b35ef22fc8312bfe1b
98928,CONSTRUCAO_FERRAMENTAS_CONSTRUCAO,4800,5000,556702ebb73d3786a852ad3d5a8ad268
98929,PET_SHOP,700,16000,a3a03c131926ec14d4c9f3ef03016b24
98930,BELEZA_SAUDE,1050,10206,e586ebb6022265ae1eea38f46ffe3ead
