9287,3442f8959a84dea7ee197c632cb2df15,CAMPINAS,SP
9288,d1b65fc7debc3361ea86b5f14c68d2e2,MOGI GUACU,SP
9289,ce3ad9de960102d0677a81f5d0bb7b2d,RIO DE JANEIRO,RJ
9290,c0f3eea2e14555b6faeea3dd58c1b1c3,SAO PAULO,SP
9291,51a04a8a6bdcb23deccc82b0b80742cf,BRAGANCA PAULISTA,SP
9292,c240c4061717ac1806ae6ee72be3533b,RIO DE JANEIRO,RJ
9293,e49c26c3edfa46d227d5121a6b6e4d37,BREJAO,PE
9294,1b938a7ec6ac5061a66a3766e0e75f90,PENAPOLIS,SP
9295,768a86e36ad6aae3d03ee3c6433d61df,SAO PAULO,SP
9296,ccc4bbb5f32a6ab2b7066a4130f114e3,CURITIBA,PR
9297,8cb7c5ddf41f4d506eba76e9a4702a25,ANAPOLIS,GO
9298,a7a9b880c49781da66651ccf4ba9ac38,ITIRAPINA,SP
9299,8bd0f31cf0a614c658f6763bd02dea69,SAO PAULO,SP
9300,05a48cc8859962767935ab9087417fbb,SAO PAULO,SP
9301,7b8e8ec35bad4b0ef7e3963650b0a87b,TUBARAO,SC
9302,1444c08e64d55fb3c25f0f09c07ffcf2,LAURO DE FREITAS,BA
9303,166e8f1381e09651983c38b1f6f91c11,IMBITUBA,SC
9304,e38db885400cd35c71dfd162f2c1dbcf,BRASILIA,DF
9305,d2e753bb80b7d4faa77483ed00edc8ca,PORTO SEGURO,BA
9306,f9ec7093df3a7b346b7bcf7864069ca3,SAO PAULO,SP
9307,4e6015589b781adaa5ce7f1892d06bb1,GUARUJA,SP
9308,4cf490a58259286ada5ba8525ba9e84a,TABATINGA,SP
9309,f7496d659ca9fdaf323c0aae84176632,SAO PAULO,SP
9310,2ff97219cb8622eaf3cd89b7d9c09824,SALTO,SP
9311,8bd0e3abda539b9479c4b44a691be1ec,TRES DE MAIO,RS
9312,2a1348e9addc1af5aaa619b1a3679d6b,BELO HORIZONTE,MG
9313,2078fe5066350e7d220c0ad3a3bbc6c1,ARAPONGAS,PR
9314,116ccb1a1604bc88e4d234a8c23f33de,SAO BERNARDO DO CAMPO,SP
9315,430315b7bb4b6e4b3c978f9dfa9b0558,SAO PAULO,SP
9316,406822777a0b9eb5c50e442dd4cd3ec5,TATUI,SP
9317,4dbd95a08b31ede5c82d3f861cb1ce1a,CURITIBA,PR
9318,e9e446d01bd10a97a8ffcfc4a3a20cb2,SAO PAULO,SP
9319,d52cbce9845184537284a23c3bc3da0e,GAROPABA,SC
9320,d9a84e1403de8da0c3aa531d6d108ba6,SAO PAULO,SP
9321,9c690ceacd5c66731bf443ea810195cb,CAMANDUCAIA,MG
9322,1f9ab4708f3056ede07124aad39a2554,TUPA,SP
9323,1961c3e1272bfeceb05d0b78b5bbfdaf,GUARULHOS,SP
9324,d3e7d37c0df9aef383f3f2a15b0dddfb,SAO JOSE DOS PINHAIS,PR
9325,ec2e006556300a79a5a91e4876ab3a56,SAO PAULO,SP
9326,b2a6d334e2833acea353624840e25a0e,SAO PAULO,SP
9327,d3674f271c91f824f82d24d92011f669,BRASILIA,DF
9328,768de2a4fc06aacecb9a586ccc30746a,BRASILIA,DF
9329,a81466620e46a6970b22ef40379fdfc9,SAO LUDGERO,SC
9330,5c030029b5916fed0986310385ec9009,SAO JOSE,SC
9331,c0f783394e37cd9c9d7f5f81141450fa,PIRACICABA,SP
9332,c353f8fc0ce8344999f17d578eb69a5e,PORTO ALEGRE,RS
9333,8444e55c1f13cd5c179851e5ca5ebd00,CONGONHAL,MG
9334,28a26ebce31d5918b181ede016fd693b,BELO HORIZONTE,MG
9335,41ab63a91b8b264e8c8780368bf1dd5b,BELO HORIZONTE,MG
